Name,Number,Material Name,Serial Number,Tag,Record Status,Operational Status,Location,Cabinet Name,Mounting Side,Type,Sub-Status
SU73VBMAX05-1B,3185,EMC VMAX 20K Storage Bay,HK192605749,5000003196,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBMAX05-2A,3186,EMC VMAX 20K Storage Bay,HK192605749,5000003196,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBMAX05-2B,3187,EMC VMAX 20K Storage Bay,HK192605749,5000003196,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBVMAX12-1A,3189,EMC VMAX 40K Storage Bay,HK195701445,5000000441,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBVMAX12-1B,3190,EMC VMAX 40K Storage Bay,HK195701445,5000000441,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBVMAX12-1C,3191,EMC VMAX 40K Storage Bay,HK195701445,5000000441,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBVMAX12-1D,3192,EMC VMAX 40K Storage Bay,HK195701445,5000000441,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBVMAX12-2A,3193,EMC VMAX 40K Storage Bay,HK195701445,5000000441,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VBVMAX12-2B,3194,EMC VMAX 40K Storage Bay,HK195701445,5000000441,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX05-1A,3208,EMC VMAX 20K Storage Bay,HK192604805,5000004411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX05-1B,3209,EMC VMAX 20K Storage Bay,HK192604805,5000004411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX05-1C,3210,EMC VMAX 20K Storage Bay,HK192604805,5000004411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX05-1D,3211,EMC VMAX 20K Storage Bay,HK192604805,5000004411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX05-2B,3212,EMC VMAX 20K Storage Bay,HK192604805,5000004411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX06,3213,EMC VMAX 40K 8-Engine System Bay,HK192605011,5000004488,Active,Operational,Ashburn\OCE\1\POD 3,,Unmounted,Peripheral,
SU73VMAX08-1A,3216,EMC VMAX 40K Storage Bay,HK195701072,5000003898,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX08-2A,3217,EMC VMAX 40K Storage Bay,HK195701072,5000003898,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX13-1A,3222,EMC VMAX 40K Storage Bay,HK195702511,5000001376,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAX13-2A,3223,EMC VMAX 40K Storage Bay,HK195702511,5000001376,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VMAXDEV04-1B,3238,EMC VMAX 20K Storage Bay,HK192605246,5000003701,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VMAXDEV04-2A,3240,EMC VMAX 20K Storage Bay,HK192605246,5000003701,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VMAXDEV04-2B,3242,EMC VMAX 20K Storage Bay,HK192605246,5000003701,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VMAXDEV04-1D,3244,EMC VMAX 20K Storage Bay,HK192605246,5000003701,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VMAXDEV04-2D,3246,EMC VMAX 20K Storage Bay,HK192605246,5000003701,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VMAXDEV04-SYS,3247,EMC VMAX 20K 8-Engine System Bay,HK192605246,5000003701,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VMAXPRD01-1B,3250,EMC VMAX 20K Storage Bay,HK192603122,1000093847,Active,Operational,Ashburn\OCE\1\POD 5,,Unmounted,Peripheral,
SU73VMAXPRD01-1C,3251,EMC VMAX 20K Storage Bay,HK192603122,1000093847,Active,Operational,Ashburn\OCE\1\POD 5,,Unmounted,Peripheral,
